Tweet ID,Username,Text
1657961868856573952,SkipperSingh,@AmazonHelp I have tried all permutations on your app but can't find a single way to reach your customer care for d… https://t.co/haTM8KhuR3
1657912121227902977,Counterfeit_Rpt,Amazon is categorically rejecting brand-owner complaints and even snubbed a federal court order.  Is the @Amazon IP… https://t.co/nY4OSdvtWW
1657856329329811461,HiMyNameisTophs,@schiekapedia @amazon @bandofbards They did this to @BenHumeniuk and Bro-D. Best part is @amazon doesn’t care and o… https://t.co/9AKODVQJij
1657841862902702080,WobiiZ,"RT @the_alex_d_: Don't over complicate Amazon FBA.

Find niches where:

1. Everything looks the same
2. There's a lot of common complaints…"
1657838210427265025,the_alex_d_,"Don't over complicate Amazon FBA.

Find niches where:

1. Everything looks the same
2. There's a lot of common comp… https://t.co/GFy23iKZYb"
1657827867470823426,PocketFul0fHobi,"@ErinBrownWrites I use this Vanicream deodorant, recommended by Dr Dray on YouTube! You apply it at night after was… https://t.co/JNHNUew6L7"
1657824574711496714,Rufous_Mojo,@amazon No response from some account you somehow call @AmazonHelp. Basically like your online customer service. Wh… https://t.co/CLGB9kPsuO
1657760362924580864,SammiTiny,@elsvjaem People expected them to play jelly pop. It was on an Amazon Music playlist that was thought to be the KCo… https://t.co/t4pOIrUV4O
1657736309061079042,utongiagmailco1,"@AmazonHelp Ive not received any email regarding that
I want the complete refund
And the remaining amazon pay balan… https://t.co/qIqZbNjBZX"
1657657324029513730,chbhanuprasad1,"@ajassy Hi sir, I have ordered so many products from amazon from last 10 days and all my items were cancelled/faile… https://t.co/86ruCIthjS"
1657597285306597376,jajosoyarla2,"RT @Counterfeit_Rpt: @jajosoyarla2 @amazon @AmazonHelp @amazonIN Welcome to the world of @Amazon shopping. Consumer complaints are common,…"
1657479804520628226,mrjodicow,"@syddval Super basic but I've been using this one for about a year now, no complaints and it looks halfway decent 

https://t.co/ISeaed3atZ"
1657477484672335872,ManjeetNit,"@amazonIN  @LICIndiaForever 7 fraud transactions in name of LIC policy from Amazon pay in last 3-4 days , no OTP sh… https://t.co/h1zVPwz33g"
1657469762505523202,AutoPartAccess,"RT @Counterfeit_Rpt: No consumer counterfeit protection from @Amazon.
Brand-owner complaints are categorically rejected. There is no 64GB m…"
1657463841268137984,AutoPartAccess,"RT @Counterfeit_Rpt: Plenty of counterfeits and fakes on @Amazon. We removed listings for over 55,600 counterfeit C-A-T®  tourniquets. Amaz…"
1657452094788603904,Counterfeit_Rpt,"No consumer counterfeit protection from @Amazon.
Brand-owner complaints are categorically rejected. There is no 64G… https://t.co/3JMZee3iZj"
1657444289541181441,Counterfeit_Rpt,@Saleemtruthdug @amazon @JeffBezos Don't hold your breath. Maybe you will get a bot response from @Amazonhelp. We r… https://t.co/93vsYz9Kcw
1657440539091021824,Counterfeit_Rpt,"Good Advice!  
We removed listings for over 1.5 MILLION counterfeits on @Amazon. The same fakes are often relisted,… https://t.co/RHZKdjXCVM"
1657439915620306944,Counterfeit_Rpt,@OgLakyn Good Advice!  We removed listings for over 1.5 MILLION counterfeits on@Amazon. The same fakes are often re… https://t.co/pR26AuEdVt
1657439319014113281,Counterfeit_Rpt,"Good Advice! 
We removed listings for over 1.5 MILLION counterfeits on @Amazon. The same fakes are often relisted,… https://t.co/eJVH5GUVof"
1657438866301698053,ValueAddedRS,"RT @Counterfeit_Rpt: Plenty of counterfeits and fakes on @Amazon. We removed listings for over 55,600 counterfeit C-A-T®  tourniquets. Amaz…"
1657437488083009537,Counterfeit_Rpt,"Plenty of counterfeits and fakes on @Amazon. We removed listings for over 55,600 counterfeit C-A-T®  tourniquets. A… https://t.co/46SNs7UClj"
1657435876660764674,Counterfeit_Rpt,@jajosoyarla2 @amazon @AmazonHelp @amazonIN Welcome to the world of @Amazon shopping. Consumer complaints are commo… https://t.co/0Tr3oAv0gn
1657433621471576067,kittikatmow,Even after countless complaints of kindle unlimited being too pricey Amazon decided to raise the price 20%. Good thing the library is free.
1657422884757729285,brodie88,"I also got this guy in. Shockingly TRIPLE boxed from Amazon. Glad I took the risk. This set's gorgeous, even with s… https://t.co/mOdCN45YbS"
1657331529755013121,sultan_solkar,"I am trying to get help from 3 days on this issue but Amazon does not have any records about my complaints it seems.
@amazonIN @amazon"
1657329773071458304,AmoghSingh12,repeated  complaints through chat and call on Amazon Customer Care. Now the Amazon even disabled call facility to c… https://t.co/4YUTFlTkKy
1657269957636521985,Nitesh_1416,"@amazonIN @amazon
@jagograhakjago
@BandBajaateRaho
As much as I expected from Amazon, it turned out to be useless.I… https://t.co/d77iYxhAFm"
1657268442263871489,Hardik_22092000,"Hey Amazon Account Review team, your lack of response and putting accounts on hold despite several complaints is no… https://t.co/iyhyANHUPx"
1657259773388271616,vikranthum,"RT @vikram_ydav21: @vikranthum @flipkartsupport @Flipkart Bro this is very irritating that Flipkart doesn't listen to the complaints ,i hav…"
1657259652286144513,vikram_ydav21,"@vikranthum @flipkartsupport @Flipkart Bro this is very irritating that Flipkart doesn't listen to the complaints ,… https://t.co/pO3is6AcDx"
1657201905532293121,argha_dutt96,"@MsDhenier7 @amazonIN @amazonIN check this issue

have been facing such issues from delivery agent multiple times.… https://t.co/6cLdDqdfuu"
1657198870055772163,rsammysams,@engineco16 @amazon I know they get a lot of flack but Amazon has great customer service.  No complaints.
1657194993214275586,Divamom1015,Can anyone tell me why @amazon continues to use Lasership/Ontrac?Despite all of the complaints they’ve amassed from… https://t.co/D8zf49celz
1657172042024722438,Michell55197951,@AmazonHelp Oh I have already been there. Submitted a redelivery request...web site says unable to submit. This is… https://t.co/tjDXxT9MiT
1657161776134250496,1Yanic,@FatKidDeals Ok mine just arrived…they’re defiantly lightly used and Amazon could’ve done a better job cleaning the… https://t.co/eQpCvpxnSV
1657149991603826690,wellabovemost,He kept the business going for about 8-12 month but eventually started seeing TOS complaints from Amazon and eventu… https://t.co/sB5Vagn7sF
1657104921936777232,MohamedAd_,"Ever heard of Listing Hijacking?

It's another dirty trick where Amazon sellers alter product details and file comp… https://t.co/RmGaLYqojg"
1657084986036502529,CJR_Sales,Checklist to protect your amazon business from IP complaints ▶️
1657065031081635840,Signalytics,"@Signalytics 4. Secondly, AI chatbots can be an excellent way for Amazon sellers to personalize shopping experience… https://t.co/5V4jcid7YI"
1657053695790440448,MerchProtection,"Brand Protection Tips: Why You Shouldn't File False Complaints Against Amazon Sellers
Watch here👉… https://t.co/xMTgUuMdDG"
1657047996888915968,imthatgirlceli,"Only 2 spots left for our 1-1 mentorship 

We teach you step-by-step how to run a 6 fig amazon business
-LLC
-teach… https://t.co/lxUCOkAgNN"
1657042546709676033,Tidalmrkt,@ManciniFBA Meltable is a suggestion. You can still sell meltable asins but if there is a lot of complaints to Amaz… https://t.co/eL2aG80vlw
1657024127776043014,CheskaMarin,"for them. They can save money by using Fulfillment by Amazon, and it also helps cut down on customer complaints."
1656971463919034370,RajatKPati,Dear @amazonIN the below order has not yet received. The delivery partner is not responding even after complaints.… https://t.co/XOuWHZzPnm
1656915885049753600,teirandragon,"@phallen_1 Hopefully they don't screw that up... cause Damn, if Amazon sends all their preorders the wrong codes...… https://t.co/AOsezu0D8N"
1656898318868578304,dsrinivasababu,Still @amazonIN sleeping on ORDER # 404-0596652-8816358. Complained for 03 times but could not deliver till date. N… https://t.co/nDjrWNzmOq
1656859818873724928,DarkElfLX,@KiennaS I've been using a BOGI from amazon for 4-5 years no with no complaints.
1656854025520701440,dev_ritesh,@AmazonHelp Your own staff is not responding on a big fraud complaint after email and call also and you're this is… https://t.co/XAzyKkhJxu
1656853120197042176,SpellfireForge,Hey @Amazon - I can see why you didn't count the review of the person above me since his only complaint was it bein… https://t.co/EqySKMDZPs
1656793591245869058,oheyitsgalactic,"@Umaisleep So far no complaints! My laptop is getting outdated so it's more a hardware issue for me, but those two… https://t.co/5rS75VaXw3"
1656753813871792128,wysperwind,@CrossroadSeraph @SpaceDuck1 I’ve never had problems refunding through Amazon; they’re usually excellent. All compl… https://t.co/b8414vvFbW
1656717678252523520,IMINDIAN475,"@amazonIN i bought a amazon basic washing machin on 30 of april but still i am waiting for installation, amazon eng… https://t.co/7i2LhIObjr"
1656709364626096128,dr_debabratap,@amazonIN @AmazonHelp @Flipkart finally after two days of multiple complaints and talks with the amazon customer ca… https://t.co/rUm2zA8eVC
1656708361335848982,AmazonASGTG,"Alert!!! @amazon  Some sellers are receiving Trademark complaints for the word ""cloud"". 

Anyone else? https://t.co/qowPNxRdIF"
1656701753272811527,ValueAddedRS,"RT @Counterfeit_Rpt: Consumers beware. @Amazon is categorically denying brand owner complaints for counterfeits, infringing listings, and a…"
1656701210236444672,Counterfeit_Rpt,"Consumers beware. @Amazon is categorically denying brand owner complaints for counterfeits, infringing listings, an… https://t.co/jeR2lHq7cd"
1656700361955241986,Counterfeit_Rpt,"@AmazonASGTG @amazon You have to understand, @amazon is dysfunctional. Our experience is the opposite. Amazon categ… https://t.co/ObpBm9SIeE"
1656684653473038338,52fac9ffeb9e40e,@Saurav_Rao_jr @AmitAgarwal @amazonIN @amazon @JeffBezos @AmazonHelp @nch1915 @timesofindia i raised the complaints… https://t.co/D47JzAM9Ow
1656673644658167813,DashRajnikant,"@amazonIN Nowadays, Customer care guys telling we can not provide complaints id also we will not take any responsib… https://t.co/xm1aNen90B"
1656673524675919873,DashRajnikant,"@amazonIN Nowadays, Customer care guys telling we can not provide complaints id also we will not take any responsib… https://t.co/3AhrliyTTJ"
1656673482439278595,DashRajnikant,"@amazonIN Nowadays, Customer care guys telling we can not provide complaints id also we will not take any responsib… https://t.co/2B514RGmGp"
1656673243552710657,DashRajnikant,"Nowadays, Customer care guys telling we can not provide complaints id also we will not take any responsibility for… https://t.co/fnw45jtvey"
1656669723952807937,mikecane,RT @scottmckain: Is there a mechanism where your frontline team members can report the most common customer complaints? Are you SURE it's b…
1656654202846982149,scottmckain,Is there a mechanism where your frontline team members can report the most common customer complaints? Are you SURE… https://t.co/fXjft8xIaJ
1656633761151451138,monitshah5,About promo to be applied n all this is seriously unfair Amazon @JeffBezos . If we don't get instant discount or ad… https://t.co/MpX1jkxhao
1656578572654374912,atif_abdullah17,@AmazonHelp After repeated complaints and no resolution I have been obliged to file a legal complaint at NCH agains… https://t.co/eyxooKmpJK
1656575383440097282,TrabigoHosting,"Amazon 'not concerned' about wave of unionizing because of competitive pay, benefits, exec says: Amazon workers in… https://t.co/Wc7jqbBNnL"
1656574903997419520,atif_abdullah17,After repeated complaints and with no resolution I have been obliged to file a legal complaint at NCH against AMAZO… https://t.co/VY312u7Pb9
1656565574951145473,singhaisid101,@LGIndia @amazonIN @LG_CustomerCare  purchased an AC a months from amazon it run for 30 min then shows CH 38 error… https://t.co/L1CxdR3Ypa
1656560890668519425,OS_FILLING,"If you have a complaint about a product or service purchased on Amazon, it's important to follow the appropriate st… https://t.co/kQLdcthb9E"
1656502164133429248,KiaraUltima,"RT @AshMichelleSims: I hate making complaints like this but @amazon, why can't I request a refund on an item that says delivered but is now…"
1656502092666925056,AshMichelleSims,"I hate making complaints like this but @amazon, why can't I request a refund on an item that says delivered but is nowhere to be found?"
1656425635794010112,Counterfeit_Rpt,@MbtHawk @LogicalKangaroo @ValueAddedRS Amazon is not interested in Intellectual Property owner complaints or count… https://t.co/lUHSjIRPJd
1656409829383053315,scottydonno,#PokemonGo is run by a bunch of morons at @NianticHelp.  They can’t enforce terms of service or stop a cheater afte… https://t.co/DGCpZBWNLO
1656371204641419290,favourite_uncle,@Lefaucheux75 Also a lot of complaints about how Netflix/Amazon/etc do residuals
1656346797303021568,zerocruxgiven,"@crtoongraveyard To be completely honest, I just use the cheapest option on Amazon.  So far, no complaints from me!"
